,Experiment name:,Sample experiment
Duration:,5 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,BPM,Arb
Units:,BPM,Arb
Time
'0:0:29.65,85,1709
'0:0:29.7,85,1716
'0:0:29.75,84,1721
'0:0:29.8,84,1727
'0:0:29.85,84,1735
'0:0:29.9,84,1744
'0:0:29.95,84,1751
'0:0:30.0,84,1759
'0:0:30.05,84,1765
'0:0:30.1,84,1768
'0:0:30.15,84,1768
'0:0:30.2,84,1765
'0:0:30.25,84,1760
'0:0:30.3,84,1754
'0:0:30.35,84,1749
'0:0:30.4,84,1743
'0:0:30.45,83,1736
'0:0:30.5,83,1730
'0:0:30.55,83,1725
'0:0:30.6,83,1721
'0:0:30.65,83,1716
'0:0:30.7,83,1710
'0:0:30.75,83,1705
'0:0:30.8,83,1700
'0:0:30.85,83,1698
'0:0:30.9,83,1695
'0:0:30.95,83,1694
'0:0:31.0,83,1693
'0:0:31.05,83,1692
'0:0:31.1,83,1688
'0:0:31.15,84,1683
'0:0:31.2,84,1679
'0:0:31.25,84,1677
'0:0:31.3,84,1675
'0:0:31.35,84,1673
'0:0:31.4,84,1669
'0:0:31.45,84,1665
'0:0:31.5,84,1662
'0:0:31.55,84,1660
'0:0:31.6,84,1657
'0:0:31.65,84,1655
'0:0:31.7,84,1652
'0:0:31.75,84,1650
'0:0:31.8,84,1647
'0:0:31.85,84,1644
'0:0:31.9,84,1643
'0:0:31.95,84,1643
'0:0:32.0,84,1643
'0:0:32.05,84,1643
'0:0:32.1,84,1643
'0:0:32.15,84,1643
'0:0:32.2,84,1643
'0:0:32.25,84,1643
'0:0:32.3,84,1643
'0:0:32.35,84,1643
'0:0:32.4,84,1642
'0:0:32.45,84,1642
'0:0:32.5,84,1640
'0:0:32.55,84,1638
'0:0:32.6,84,1638
'0:0:32.65,84,1638
'0:0:32.7,84,1640
'0:0:32.75,84,1641
'0:0:32.8,84,1642
'0:0:32.85,84,1643
'0:0:32.9,84,1646
'0:0:32.95,84,1651
'0:0:33.0,84,1657
'0:0:33.05,84,1664
'0:0:33.1,84,1672
'0:0:33.15,84,1678
'0:0:33.2,84,1684
'0:0:33.25,84,1690
'0:0:33.3,84,1696
'0:0:33.35,84,1703
'0:0:33.4,84,1712
'0:0:33.45,84,1720
'0:0:33.5,84,1729
'0:0:33.55,84,1735
'0:0:33.6,84,1741
'0:0:33.65,84,1746
'0:0:33.7,84,1754
'0:0:33.75,84,1761
'0:0:33.8,84,1769
'0:0:33.85,84,1775
'0:0:33.9,84,1778
'0:0:33.95,84,1776
'0:0:34.0,84,1772
'0:0:34.05,83,1767
'0:0:34.1,83,1762
'0:0:34.15,83,1759
'0:0:34.2,83,1756
'0:0:34.25,83,1751
'0:0:34.3,83,1744
'0:0:34.35,83,1738
'0:0:34.4,83,1733
'0:0:34.45,83,1729
'0:0:34.5,83,1724
'0:0:34.55,83,1720
'0:0:34.6,83,1717
'0:0:34.65,83,1713
'0:0:34.7,84,1707
'0:0:34.75,84,1703
'0:0:34.8,84,1701
'0:0:34.85,84,1702
'0:0:34.9,84,1702
'0:0:34.95,84,1700
'0:0:35.0,84,1697
'0:0:35.05,84,1694
'0:0:35.1,84,1692
'0:0:35.15,84,1691
'0:0:35.2,84,1690
'0:0:35.25,84,1689
'0:0:35.3,84,1688
'0:0:35.35,84,1686
'0:0:35.4,84,1683
'0:0:35.45,84,1680
'0:0:35.5,84,1679
'0:0:35.55,84,1679
'0:0:35.6,84,1680
'0:0:35.65,84,1679
'0:0:35.7,84,1677
